,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23
229,,,,,,,,,,,,,,120.11,115.14,116.41,120.55,111.479,,111.9316,131.3,,113.0,113.0,
230,,,,,,,,,,,,,,,,,,111.4914,,111.9319,131.26,,,,
231,,,,,,,,,,,,,,,,,,111.4934,,111.9323,131.19,,,,
232,,444.4,495.2,513.0,541.4,566.0,593.6,623.0,653.8,672.6,697.8,715.0,747.8,118.27,115.1,116.24,120.34,111.4839,116.59,111.9316,131.3,1770.19,166.0,166.0,112.0909
233,,,,,,,,,,,,,,,,,,111.4844,,111.9323,131.19,,,,
234,,,,,,,,,,,,,,115.19,115.35,116.62,120.97,111.4902,116.6,111.9323,131.2,1965.69,123.0,123.0,
235,,433.4,492.8,510.8,540.6,566.4,594.6,625.4,658.4,678.8,705.6,725.6,769.2,,,,,111.4883,,111.9317,131.29,,,,
236,,,,,,,,,,,,,,114.97,115.36,116.77,121.13,111.4848,,111.9316,131.3,,131.0,131.0,
237,,,,,,,,,,,,,,,,,,111.4885,,111.9318,131.27,,,,
238,,,,,,,,,,,,,,,,,,111.482,,111.9319,131.26,,,,
239,,443.2,492.6,510.4,539.2,564.0,591.6,621.2,652.2,671.0,696.4,713.6,747.4,115.28,115.22,116.63,120.85,111.4823,116.44,111.9319,131.25,1761.89,120.0,120.0,111.98729
240,,,,,,,,,,,,,,,,,,111.4946,,111.9323,131.19,,,,
241,,,,,,,,,,,,,,115.43,115.41,116.83,121.24,111.5021,116.61,111.93254,131.15,1818.97,129.0,129.0,
242,,441.2,494.6,512.8,541.4,566.6,594.2,624.2,655.4,674.8,700.4,717.8,752.2,,,,,111.5192,,111.933,131.07999999999998,,,,
243,,,,,,,,,,,,,,114.75,115.47,116.9,121.37,111.4937,,111.9322,131.2,,143.0,143.0,
244,,,,,,,,,,,,,,,,,,111.49,,111.9321,131.22,,,,
245,,,,,,,,,,,,,,,,,,111.4889,,111.9319,131.25,,,,
246,,437.2,493.2,511.4,541.0,566.6,594.4,624.6,656.4,676.4,702.6,722.2,764.8,117.05,115.53,116.81,121.34,111.4837,116.45,111.9313,131.35,1923.41,128.0,128.0,111.9727
247,,,,,,,,,,,,,,,,,,111.4851,,111.9314,131.32999999999998,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,112.167,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,
300,,406.0,407.8,419.8,447.2,464.4,481.0,498.2,533.8,558.0,582.0,640.4,757.2,,,,,112.0842,,,,,,,
301,,,,,,,,,,,,,,,,,,111.3579,,,,,,,
302,,,,,,,,,,,,,,,,,,111.3684,,,,,,,
303,,,,,,,,,,,,,,,,,,111.3977,,111.9272,132.03,,,,
304,,,,,,,,,,,,,,111.0,114.34,115.37,118.71,111.4094,115.71,111.9274,131.99,1740.8,139.0,139.0,
305,,463.6,508.4,520.8,544.2,563.8,588.4,613.4,641.2,664.6,689.4,710.0,753.0,,,,,111.4089,,111.9277,131.94,,,,
306,,,,,,,,,,,,,,111.0,114.56,115.57,119.13,111.4153,,111.9289,131.75,,121.0,121.0,
307,,,,,,,,,,,,,,,,,,111.489,,111.9347,130.81,,,,
308,,,,,,,,,,,,,,,,,,111.4804,,111.9336,130.97,,,,
309,,457.2,508.4,524.6,549.6,571.8,598.2,625.4,654.2,673.8,698.4,716.4,752.4,111.0,115.06,116.5,120.56,111.5004,116.74,111.9334,131.0,1923.85,119.0,119.0,111.92138
310,,,,,,,,,,,,,,,,,,111.492,,111.9336,130.98,,,,
