,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23
53,,459.0,508.0,521.6,546.6,567.4,592.4,618.2,645.4,668.8,693.8,715.4,759.2,,,,,111.4662,,111.9302,131.53,,,,
54,,,,,,,,,,,,,,117.19,114.79,115.54,119.33,111.4589,,111.9301,131.56,,163.0,163.0,
55,,,,,,,,,,,,,,,,,,111.5548,,,,,,,
56,,,,,,,,,,,,,,,,,,111.6291,,,,,,,
57,,459.6,504.0,516.8,541.2,562.4,586.8,612.2,639.6,663.6,688.4,710.8,757.4,114.07,114.62,115.43,119.05,111.4523,115.88195,111.9276,131.96,1475.44,138.0,138.0,111.44254
58,,,,,,,,,,,,,,,,,,111.4804,,111.9301,131.56,,,,
59,,,,,,,,,,,,,,113.46,114.89,115.94,119.83,111.5037,116.17274,111.9308,131.43,1514.45,153.0,153.0,
60,,460.2,507.2,520.6,545.6,566.8,591.8,618.0,645.6,668.8,693.6,714.8,757.8,,,,,111.4917,,111.9303,131.51,,,,
61,,,,,,,,,,,,,,113.74,114.91,115.85,119.76,111.4908,,111.9306,131.47,,123.0,123.0,
62,,,,,,,,,,,,,,,,,,111.4991,,111.9304,131.5,,,,
63,,,,,,,,,,,,,,,,,,111.5014,,111.9308,131.43,,,,
64,,462.8,509.4,522.8,547.6,568.8,593.8,619.6,646.6,669.8,694.6,715.2,756.6,115.44,115.04,116.02,120.06,111.5018,116.28667,111.9312,131.37,1452.0,120.0,120.0,111.41915
65,,,,,,,,,,,,,,,,,,111.4987,,111.931,131.41,,,,
66,,,,,,,,,,,,,,114.31,115.21,116.56,120.77,111.4965,116.1792,111.9309,131.42000000000002,1509.05,121.0,121.0,
67,,460.6,507.6,520.8,546.0,567.2,592.2,618.2,645.6,669.0,694.0,715.6,757.6,,,,,111.4815,,111.9305,131.49,,,,
68,,,,,,,,,,,,,,114.36,115.48,115.93,120.41,111.4752,,111.9299,131.57999999999998,,114.0,114.0,
69,,,,,,,,,,,,,,,,,,111.5132,,111.9306,131.47,,,,
70,,,,,,,,,,,,,,,,,,111.4856,,111.9302,131.53,,,,
71,,467.2,509.0,521.8,546.0,566.6,591.2,616.6,643.0,666.0,690.4,711.4,752.8,112.25,115.18,116.88,121.06,111.4981,116.20489,111.9308,131.44,1470.15,113.0,113.0,111.58593
72,,,,,,,,,,,,,,,,,,111.4568,,111.929,131.73,,,,
73,,,,,,,,,,,,,,112.11,114.64,115.55,119.19,111.4519,115.95805,111.9282,131.87,1354.55,116.0,116.0,
74,,460.8,506.6,519.4,543.2,564.0,589.0,615.2,643.4,667.0,692.2,713.4,757.6,,,,,111.4658,,111.9286,131.79,,,,
75,,,,,,,,,,,,,,111.94,115.29,115.97,120.26,111.4919,,111.9303,131.51,,121.0,121.0,
76,,,,,,,,,,,,,,,,,,111.495,,111.9302,131.53,,,,
77,,,,,,,,,,,,,,,,,,111.4935,,111.9299,131.57,,,,
78,,461.6,508.8,523.2,548.2,569.6,594.6,620.2,646.0,668.8,693.2,714.0,754.2,112.43,114.93,116.43,120.36,111.4919,116.18533,111.9307,131.45,1536.57,129.0,129.0,111.45062
79,,,,,,,,,,,,,,,,,,111.4838,,111.9294,131.66,,,,
80,,,,,,,,,,,,,,111.86,114.77,115.88,119.65,111.4774,115.96605,111.9291,131.71,1475.67,135.0,135.0,
81,,459.6,507.2,520.2,,565.2,,616.0,,667.8,,714.2,757.6,,,,,111.4748,,111.9298,131.6,,,,
82,,,,,,,,,,,,,,112.11,114.96,116.24,120.2,111.4969,,111.9303,131.51,,160.0,160.0,
83,,,,,,,,,,,,,,,,,,111.4968,,111.9316,131.3,,,,
84,,,,,,,,,,,,,,,,,,111.4993,,111.9311,131.39,,,,
85,,460.0,507.4,520.2,,565.0,,615.8,,667.8,,714.6,758.6,111.71,115.8,116.16,120.96000000000001,111.4883,116.32954,111.9311,131.39,1492.26,135.0,135.0,111.7117
86,,,,,,,,,,,,,,,,,,111.4713,,111.9281,131.87,,,,
87,,,,,,,,,,,,,,111.39,114.07,115.13,118.2,111.4694,115.75244,111.9269,132.07,1544.3,121.0,121.0,
88,,459.2,505.4,517.8,541.6,562.4,587.2,613.2,641.0,665.4,690.6,712.4,757.2,,,,,111.4959,,111.9296,131.63,,,,
89,,,,,,,,,,,,,,112.31,115.36,116.54,120.9,111.4923,,111.93,131.56,,111.0,111.0,
90,,,,,,,,,,,,,,,,,,111.4972,,111.9299,131.57,,,,
91,,,,,,,,,,,,,,,,,,111.4907,,111.9309,131.41,,,,
92,,462.4,508.6,521.2,545.8,566.2,591.0,616.6,643.8,667.2,692.0,712.6,754.2,111.34,115.1,116.61,120.71000000000001,111.5032,116.15951,111.9302,131.53,1478.81,135.0,135.0,111.75435
93,,,,,,,,,,,,,,,,,,111.4719,,111.9293,131.68,,,,
94,,,,,,,,,,,,,,112.75,114.81,115.84,119.65,111.4471,116.11407,111.9288,131.76,1418.14,145.0,145.0,
95,,459.8,508.8,521.8,546.6,567.4,592.4,618.8,647.0,670.8,696.2,716.6,757.0,,,,,111.4629,,111.9297,131.61,,,,
96,,,,,,,,,,,,,,114.93,115.99,116.72,121.71000000000001,111.4728,,111.9304,131.5,,141.0,141.0,
97,,,,,,,,,,,,,,,,,,111.4758,,111.9305,131.49,,,,
98,,,,,,,,,,,,,,,,,,111.4891,,111.9302,131.53,,,,
99,,455.6,506.2,519.6,544.2,565.2,590.2,616.6,645.0,669.4,695.0,716.0,758.4,113.45,115.03,116.55,120.58,111.4972,116.08441,111.9302,131.53,1465.46,122.0,122.0,111.83705
100,,,,,,,,,,,,,,,,,,111.4759,,111.9303,131.52,,,,
101,,,,,,,,,,,,,,113.86,115.19,116.68,120.87,111.4746,116.02116,111.9301,131.54,1503.55,122.0,122.0,
102,,457.0,508.2,521.6,546.2,566.8,592.0,618.0,646.2,670.2,695.6,716.0,757.2,,,,,111.4971,,111.9305,131.48,,,,
103,,,,,,,,,,,,,,115.31,115.32,117.08,121.4,111.4896,,111.9303,131.51,,125.0,125.0,
104,,,,,,,,,,,,,,,,,,111.4878,,111.9302,131.53,,,,
105,,,,,,,,,,,,,,,,,,111.4891,,111.93,131.57,,,,
106,,455.6,507.4,521.2,546.4,567.6,593.0,619.4,647.6,671.4,696.8,717.2,754.4,113.7,114.99,116.73,120.72,111.4914,116.04068,111.9301,131.55,1439.13,126.0,126.0,111.79254
107,,,,,,,,,,,,,,,,,,111.4982,,111.93,131.56,,,,
108,,,,,,,,,,,,,,114.39,115.66,116.78,121.44,111.4939,116.1759,111.9301,131.54,1456.08,111.0,111.0,
109,,455.8,507.4,521.2,546.0,567.2,592.4,618.8,647.2,671.2,696.8,717.2,754.6,,,,,111.4924,,111.9302,131.53,,,,
110,,,,,,,,,,,,,,112.85,115.23,116.88,121.11,111.4917,,111.9301,131.55,,127.0,127.0,
111,,,,,,,,,,,,,,,,,,111.4838,,111.9301,131.55,,,,
112,,,,,,,,,,,,,,,,,,111.4951,,111.9302,131.53,,,,
113,,454.4,506.8,521.0,545.8,567.0,592.4,618.8,647.2,671.2,696.8,717.6,758.4,114.44,115.17,116.83,121.0,111.486,116.11646,111.93,131.56,1483.67,142.0,142.0,111.53568
114,,,,,,,,,,,,,,,,,,111.486,,111.9299,131.57,,,,
115,,,,,,,,,,,,,,114.59,115.24,116.88,121.12,111.4982,116.12066,111.9302,131.53,1446.8,120.0,120.0,
116,,460.4,507.2,520.2,544.2,564.6,589.6,615.2,642.6,666.0,690.8,711.8,755.2,,,,,111.5034,,111.9302,131.53,,,,
117,,,,,,,,,,,,,,114.43,115.08,116.74,120.82,111.4741,,111.9298,131.6,,135.0,135.0,
118,,,,,,,,,,,,,,,,,,111.4771,,111.9297,131.62,,,,
119,,,,,,,,,,,,,,,,,,111.4747,,111.9289,131.74,,,,
120,,455.2,505.2,519.2,543.6,564.6,589.8,616.0,644.2,668.0,693.2,714.0,756.4,114.52,115.33,116.85,121.18,111.4792,116.10963,111.9295,131.64,1490.61,149.0,149.0,111.8047
121,,,,,,,,,,,,,,,,,,111.4858,,111.9301,131.54,,,,
122,,,,,,,,,,,,,,115.32,115.17,116.69,120.86,111.4767,116.04334,111.9297,131.61,1441.98,116.0,116.0,
123,,456.2,505.8,519.8,544.2,565.0,590.4,616.4,644.6,668.0,693.2,713.6,755.4,,,,,111.4683,,111.9295,131.65,,,,
124,,,,,,,,,,,,,,113.24,115.62,116.99,121.61,111.4881,,111.9301,131.54,,123.0,123.0,
125,,,,,,,,,,,,,,,,,,111.4951,,111.9302,131.53,,,,
126,,,,,,,,,,,,,,,,,,111.5066,,111.9305,131.48,,,,
127,,453.2,506.6,521.2,545.6,566.4,591.8,618.0,646.6,670.4,696.0,716.6,758.6,112.31,115.2,116.92,121.12,111.4728,116.20564,111.9302,131.53,1394.8,122.0,122.0,111.36622
128,,,,,,,,,,,,,,,,,,111.4663,,111.9299,131.57999999999998,,,,
129,,,,,,,,,,,,,,114.23,115.23,116.91,121.14,111.4869,116.12295,111.93,131.57,1397.55,124.0,124.0,
130,,453.8,505.2,519.0,543.8,565.2,590.6,616.8,645.4,669.2,694.8,715.4,756.6,,,,,111.4791,,111.9298,131.6,,,,
131,,,,,,,,,,,,,,116.64,115.44,117.04,121.48,111.4887,,111.9301,131.55,,136.0,136.0,
132,,,,,,,,,,,,,,,,,,111.5,,111.9307,131.45,,,,
133,,,,,,,,,,,,,,,,,,111.4937,,111.9304,131.49,,,,
134,,456.2,504.6,518.6,543.2,564.4,589.6,615.6,643.4,667.0,692.0,712.6,754.0,120.16,115.32,117.02,121.34,111.4942,116.0982,111.93,131.57,1473.99,124.0,124.0,111.71367
135,,,,,,,,,,,,,,,,,,111.4784,,111.93,131.56,,,,
136,,,,,,,,,,,,,,123.64,115.19,116.49,120.68,111.474,116.04533,111.9294,131.66,1374.85,127.0,127.0,
137,,458.2,505.4,519.6,543.8,564.4,589.4,615.0,642.2,665.2,690.0,710.2,750.8,,,,,111.4807,,111.9296,131.63,,,,
138,,,,,,,,,,,,,,115.21,115.22,116.73,120.95,111.4897,,111.9301,131.55,,128.0,128.0,
139,,,,,,,,,,,,,,,,,,111.4769,,111.929,131.72,,,,
140,,,,,,,,,,,,,,,,,,111.4881,,111.9296,131.63,,,,
141,,452.4,504.2,518.8,543.6,565.0,590.4,616.6,644.6,668.6,694.0,714.8,757.0,113.01,115.06,116.52,120.58,111.4952,116.05882,111.9295,131.65,1507.28,113.0,113.0,111.08165
142,,,,,,,,,,,,,,,,,,111.4917,,111.9299,131.57999999999998,,,,
143,,,,,,,,,,,,,,113.1,114.99,116.6,120.59,111.4976,116.19404,111.9296,131.64,1528.92,118.0,118.0,
144,,360.2,454.4,483.0,524.2,553.8,581.6,611.8,643.8,670.4,699.2,718.8,766.2,,,,,114.3895,,111.9612,126.63,,,,
145,,,,,,,,,,,,,,114.96,115.02,116.67,120.69,111.509,,111.9311,131.38,,125.0,125.0,
146,,,,,,,,,,,,,,,,,,111.4894,,111.9304,131.5,,,,
147,,,,,,,,,,,,,,,,,,111.4811,,111.9301,131.54,,,,
148,,453.8,506.0,520.2,545.0,566.0,591.6,618.0,646.0,670.2,695.6,716.2,755.2,118.87,115.19,116.9,121.09,111.5031,116.04508,111.9302,131.53,1505.34,117.0,117.0,111.87933
149,,,,,,,,,,,,,,,,,,111.4942,,111.9305,131.48,,,,
150,,,,,,,,,,,,,,119.52,115.22,116.59,120.81,111.5075,116.06184999999999,111.9297,131.61,1420.31,126.0,126.0,
151,,453.6,506.4,520.4,545.2,566.2,591.6,618.0,646.4,670.6,696.2,716.8,756.0,,,,,111.4792,,111.9296,131.63,,,,
152,,,,,,,,,,,,,,118.5,115.43,116.94,121.37,111.4956,,111.9306,131.46,,127.0,127.0,
153,,,,,,,,,,,,,,,,,,111.4968,,111.9313,131.35,,,,
154,,,,,,,,,,,,,,,,,,111.4983,,111.931,131.4,,,,
155,,454.4,506.2,521.2,546.4,568.4,594.4,621.4,650.0,672.4,697.6,717.0,756.0,113.41,115.46,117.2,121.66,111.5087,116.28455,111.9313,131.35,1563.11,123.0,123.0,112.0073
156,,,,,,,,,,,,,,,,,,111.4844,,111.931,131.4,,,,
157,,,,,,,,,,,,,,115.85,115.33,116.94,121.27,111.4737,116.13065,111.9312,131.37,1498.16,123.0,123.0,
158,,461.4,507.6,522.2,547.0,567.8,593.2,619.2,646.8,668.2,692.6,711.8,751.0,,,,,111.4832,,111.9313,131.36,,,,
159,,,,,,,,,,,,,,119.78999999999999,115.12,116.54,120.66,111.4714,,111.9303,131.52,,141.0,141.0,
160,,,,,,,,,,,,,,,,,,111.4668,,111.93,131.56,,,,
161,,,,,,,,,,,,,,121.18,115.55,116.22,120.77,111.4679,,111.9306,131.47,,,,
162,,465.2,509.6,522.8,547.0,567.2,591.8,617.0,643.4,666.4,690.8,711.2,752.8,121.25,115.16,116.75,120.91,111.4849,116.29528,111.9308,131.43,1376.02,135.0,135.0,111.84635
163,,,,,,,,,,,,,,123.07,115.41,116.87,121.28,111.4931,,111.931,131.4,,,,
164,,,,,,,,,,,,,,121.43,115.67,116.92,121.59,111.4542,115.93415,111.9296,131.62,1362.1,114.0,114.0,
165,,456.2,508.2,521.4,547.0,567.8,593.0,618.8,645.6,668.6,693.4,713.6,749.4,130.24,115.52,116.63,121.15,111.4682,,111.9294,131.66,,,,
166,,,,,,,,,,,,,,136.65,115.2,116.49,120.69,111.4611,,111.9291,131.71,,165.0,165.0,
167,,,,,,,,,,,,,,135.11,114.99,116.46,120.45,111.4653,,111.9294,131.67000000000002,,,,
168,,,,,,,,,,,,,,,,,,111.4558,,111.9295,131.64,,,,
169,,458.6,508.2,522.0,547.0,568.0,593.0,619.0,646.4,669.8,694.8,715.2,752.6,138.36,115.1,116.56,120.66,111.4717,116.04411,111.9297,131.61,1524.87,275.0,275.0,111.87821
170,,,,,,,,,,,,,,,,,,111.4568,,111.9299,131.57999999999998,,,,
171,,,,,,,,,,,,,,133.43,115.1,116.92,121.02,111.4718,116.02387,111.9303,131.52,1565.15,139.0,139.0,
172,,461.6,505.0,518.8,544.6,566.4,591.2,617.2,643.8,666.6,691.2,711.2,747.4,,,,,111.4543,,111.9296,131.63,,,,
173,,,,,,,,,,,,,,131.36,114.86,116.38,120.24,111.446,,111.9291,131.71,,199.0,199.0,
174,,,,,,,,,,,,,,,,,,111.4474,,111.9292,131.7,,,,
175,,,,,,,,,,,,,,,,,,111.4418,,111.9293,131.67000000000002,,,,
176,,455.6,505.6,519.2,544.6,566.2,591.2,617.6,645.4,669.6,695.0,717.2,762.2,128.21,114.84,116.26,120.1,111.4649,116.07539,111.9295,131.64,1481.41,154.0,154.0,111.90879
177,,,,,,,,,,,,,,,,,,111.4447,,111.929,131.73,,,,
178,,,,,,,,,,,,,,123.84,114.99,116.26,120.25,111.4571,115.9487,111.9287,131.78,1456.97,119.0,119.0,
179,,462.0,504.6,518.0,543.4,564.8,589.6,615.6,642.4,665.4,690.0,710.4,748.4,,,,,111.4655,,111.9286,131.8,,,,
180,,,,,,,,,,,,,,122.34,114.57,116.08,119.65,111.4653,,111.9289,131.75,,120.0,120.0,
181,,,,,,,,,,,,,,134.29,114.8,116.67,120.47,111.4638,,111.9291,131.71,,,,
182,,,,,,,,,,,,,,,,,,111.4629,,111.9297,131.62,,,,
183,,460.2,505.6,518.8,543.8,565.0,589.8,615.8,643.0,666.6,691.4,712.4,755.6,126.96000000000001,115.26,116.19,120.45,111.4662,115.92522,111.9297,131.61,1523.45,133.0,133.0,111.92355
184,,,,,,,,,,,,,,,,,,111.4626,,111.9294,131.66,,,,
185,,,,,,,,,,,,,,125.09,114.71,116.06,119.77,111.4379,115.80315,111.9286,131.79,1424.81,132.0,132.0,
186,,461.8,505.2,518.6,544.0,565.2,589.8,615.6,642.2,665.4,689.8,710.6,749.4,121.16,115.26,116.71,120.97,111.4408,,111.9284,131.82999999999998,,,,
187,,,,,,,,,,,,,,120.35,115.16,116.54,120.7,111.4785,,111.9298,131.6,,187.0,187.0,
188,,,,,,,,,,,,,,,,,,111.4554,,111.9305,131.49,,,,
189,,,,,,,,,,,,,,,,,,111.4532,,111.93,131.57,,,,
190,,452.0,501.8,517.2,543.6,566.2,592.6,620.8,651.4,672.6,698.2,716.2,754.0,132.21,116.01,117.52,122.53,111.489,116.38568,111.9309,131.42000000000002,1536.81,139.0,139.0,112.0842
191,,,,,,,,,,,,,,,,,,111.5199,,111.9322,131.21,,,,
192,,,,,,,,,,,,,,130.22,115.78,117.75,122.53,111.5094,116.51,111.9323,131.19,1612.96,209.0,209.0,
193,,441.4,501.8,518.4,545.6,569.2,596.6,625.4,656.6,678.0,704.2,723.8,764.4,,,,,111.4788,,111.9315,131.32,,,,
194,,,,,,,,,,,,,,122.15,115.43,117.17,121.6,111.4902,,111.9317,131.28,,244.0,244.0,
195,,,,,,,,,,,,,,118.44,115.43,116.95,121.38,111.4954,,,,,,,
196,,,,,,,,,,,,,,,,,,111.4849,,111.932,131.24,,,,
197,,447.6,501.8,518.8,545.2,567.8,594.6,622.8,653.4,674.6,700.4,718.4,756.2,117.5,115.78,117.1,121.88,111.5068,116.58,111.932,131.24,1512.63,145.0,145.0,112.0923
198,,,,,,,,,,,,,,,,,,111.4856,,111.9317,131.29,,,,
199,,,,,,,,,,,,,,117.94,115.32,117.13,121.45,111.4951,116.31,111.9316,131.3,1532.7,145.0,145.0,
200,,449.2,505.8,523.6,549.6,571.6,598.2,625.6,655.0,676.0,701.2,720.8,758.4,,,,,111.5065,,111.9325,131.16,,,,
201,,,,,,,,,,,,,,118.32,115.15,116.91,121.06,111.4866,,111.9317,131.28,,141.0,141.0,
202,,,,,,,,,,,,,,,,,,111.4935,,111.9328,131.1,,,,
203,,,,,,,,,,,,,,,,,,111.4875,,111.9324,131.17000000000002,,,,
