,單元,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24,RDS2.25,RDS2.26,RDS2.27
58,,,,,,,,,,,,,,,,,,34510.0,,,,,,,,,,,
59,,,,,,,,,,,,,,114.98,127.1,156.45,172.55,35444.0,,,111.9639,111.96448,126.21000000000001,1950.47,145.5,,120.52381,,
60,,,,,,,,,,,,,,,,,,35978.0,,,,,,,,,,,
61,,,,,,,,,,,,,,115.02,127.75,156.52,173.27,36138.0,,,111.9639,111.9645,126.21000000000001,,145.49,,,,
62,,,,,,,,,,,,,,,,,,36282.0,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,35367.0,,,,,,,,,,,
64,,392.4,451.0,485.0,,560.2,,625.2,,695.8,,764.0,826.2,116.95,127.15,156.53,172.68,36101.0,,113.8558,111.9641,111.96469,126.18,1889.32,146.39,161.0,120.66644,,
65,,,,,,,,,,,,,,,,,,35563.0,,,,,,,,,,,
66,,,,,,,,,,,,,,115.96,127.34,156.64,172.98000000000002,35842.0,,,111.9641,111.96466,126.18,1892.55,147.24,,120.50862000000001,,
67,,,,,,,,,,,,,,,,,,34889.0,,,,,,,,,,,
68,,,,,,,,,,,,,,115.69,126.85,156.53,172.38,34767.0,,,111.9629,111.96349,126.36,,145.11,,,,
69,,,,,,,,,,,,,,,,,,35359.0,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,35945.0,,,,,,,,,,,
71,,392.2,447.4,481.6,,556.2,,620.6,,690.8,,759.6,823.8,114.0,127.9,159.15,176.05,34920.0,,113.9344,111.9642,111.96474,126.17,1902.55,146.4,113.0,120.98308,,
72,,,,,,,,,,,,,,,,,,33715.0,,,,,,,,,,,
73,,,,,,,,,,,,,,113.35,126.49,152.47,167.96,33119.0,,,111.9596,111.96019,126.87,1768.83,140.94,,119.96196,,
74,,,,,,,,,,,,,,,,,,34791.0,,,,,,,,,,,
75,,,,,,,,,,,,,,113.36,126.23,152.53,167.76,34302.0,,,111.9618,111.96235,126.53999999999999,,142.45,,,,
76,,,,,,,,,,,,,,,,,,34341.0,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,34177.0,,,,,,,,,,,
78,,392.4,447.2,484.6,,560.0,,624.6,,693.0,,761.2,823.2,113.7,126.22,153.89,169.11,35031.0,,113.2894,111.9627,111.96325,126.4,1924.79,145.03,133.0,120.25314,,
79,,,,,,,,,,,,,,,,,,34676.0,,,,,,,,,,,
80,,,,,,,,,,,,,,114.69,126.39,154.32,169.71,34871.0,,,111.9619,111.96251,126.51,1902.22,147.21,,120.41704,,
81,,,,,,,,,,,,,,,,,,34688.0,,,,,,,,,,,
82,,,,,,,,,,,,,,113.39,127.96000000000001,152.99,169.95,34212.0,,,111.9628,111.96333,126.39,,145.36,,,,
83,,,,,,,,,,,,,,,,,,33687.0,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,33790.0,,,,,,,,,,,
85,,393.6,447.6,481.0,,555.2,,619.0,,689.0,,758.6,826.0,113.32,127.78,151.99,168.77,33720.0,,114.1077,111.9629,111.96343,126.37,1867.84,144.04,119.0,121.0559,,
86,,,,,,,,,,,,,,,,,,33868.0,,,,,,,,,,,
87,,,,,,,,,,,,,,113.29,124.75,152.74,166.49,33747.0,,,111.959,111.95952,126.97,2008.66,134.96,,119.42912,,
88,,,,,,,,,,,,,,,,,,34170.0,,,,,,,,,,,
89,,,,,,,,,,,,,,113.66,125.68,151.2,165.88,33802.0,,,111.9609,111.96145,126.67,,140.72,,,,
90,,,,,,,,,,,,,,,,,,34043.0,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,33727.0,,,,,,,,,,,
92,,382.0,446.0,478.8,,555.2,,619.2,,689.2,,758.4,825.2,113.18,126.93,154.36,170.29,34485.0,,114.0485,111.962,111.96255,126.5,1883.03,145.26,137.0,120.60549,,
93,,,,,,,,,,,,,,,,,,34494.0,,,,,,,,,,,
94,,,,,,,,,,,,,,114.59,126.4,151.02,166.42000000000002,32833.0,,,111.95918,111.9597,126.93,1815.8,145.23,,119.93997,,
95,,,,,,,,,,,,,,,,,,33127.0,,,,,,,,,,,
96,,,,,,,,,,,,,,118.41,127.65,155.17000000000002,171.82,33116.0,,,111.9616,111.96213,126.57,,146.86,,,,
97,,,,,,,,,,,,,,,,,,33080.0,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,34184.0,,,,,,,,,,,
99,,382.6,451.4,483.8,,558.2,,622.6,,694.2,,763.0,825.8,125.0,127.05,156.17000000000002,172.22,34894.0,,113.8012,111.9626,111.96321,126.4,1789.38,146.64,129.0,120.53809,,
100,,,,,,,,,,,,,,,,,,35622.0,,,,,,,,,,,
