,Unnamed: 0,RDS2,RDS2.1,RDS2.2,RDS2.3,RDS2.4,RDS2.5,RDS2.6,RDS2.7,RDS2.8,RDS2.9,RDS2.10,RDS2.11,RDS2.12,RDS2.13,RDS2.14,RDS2.15,RDS2.16,RDS2.17,RDS2.18,RDS2.19,RDS2.20,RDS2.21,RDS2.22,RDS2.23,RDS2.24,RDS2.25,RDS2.26,RDS2.27,RDS2.28,RDS2.29,RDS2.30,RDS2.31,RDS2.32,RDS2.33,RDS2.34,RDS2.35,RDS2.36,RDS2.37,RDS2.38,RDS2.39,RDS2.40,RDS2.41,RDS2.42,RDS2.43,RDS2.44,RDS2.45,RDS2.46,RDS2.47,RDS2.48,RDS2.49,RDS2.50,RDS2.51,RDS2.52,RDS2.53,RDS2.54,RDS2.55,RDS2.56,RDS2.57,RDS2.58,RDS2.59,RDS2.60,RDS2.61,RDS2.62,RDS2.63,RDS2.64,RDS2.65,RDS2.66,RDS2.67,RDS2.68,RDS2.69,RDS2.70,RDS2.71,RDS2.72,RDS2.73,RDS2.74,RDS2.75,RDS2.76,RDS2.77,RDS2.78,RDS2.79,RDS2.80,RDS2.81,RDS2.82,RDS2.83,RDS2.84,RDS2.85,RDS2.86,RDS2.87,RDS2.88,RDS2.89,RDS2.90,RDS2.91
227,,566.2573,488.5287,488.5579,488.54330000000004,499.3185,499.5057,499.4121,494.238,494.3472,494.2926,78653.49,556.8299999999999,445941.0,473.1614,473.4007,473.28105,486.9831,488.1035,487.5433,484.8936,485.5599,485.22675000000004,494.2414,494.2958,494.2686,490.4683,491.6131,491.0407,500.8326,501.92,501.3763,494.2802,493.6004,493.9403,503.7495,503.6284,503.68895,494.2019,494.6481,494.425,502.9927,503.6741,503.3334,497.3311,498.9902,498.16065000000003,503.1963,503.4766,503.33645,496.9774,496.6799,496.82865,479.2156,492.2543,485.73495,292.4338,293.1387,292.78625,113.4672,113.6734,113.5703,287.77520000000004,286.4549,287.11505,114.977,115.1272,115.0521,280.6637,283.47040000000004,282.06705,114.4727,114.3283,114.4005,280.10220000000004,278.2627,279.18245,113.9358,114.1837,114.05975,116.33062519204006,114.5008894163901,122.16657382677037,10666.0,11033.0,2288.0,7848.0,2642.0,8422.0,111.20625296068214,111.73301752723827,111.23173411463102,111.76094121955686
228,,566.8016,488.5267,488.5744,488.55055000000004,499.3258,499.5283,499.42705,494.2427,494.3687,494.3057,78846.53,556.6700000000001,445781.0,473.1608,473.3996,473.28020000000004,486.9811,488.1134,487.54725,484.8744,485.5692,485.22180000000003,494.2729,494.3576,494.31525,490.483,491.6409,491.06195,500.8437,501.9753,501.4095,494.2795,493.6006,493.94005,503.7969,503.7068,503.75185,494.2007,494.6504,494.42555,502.9799,503.7371,503.3585,497.3299,498.989,498.15945,503.0976,503.4812,503.2894,496.9804,496.6786,496.8295,479.1605,492.1829,485.6717,292.6113,293.33439999999996,292.97285,113.4827,113.6945,113.5886,287.9338,286.5883,287.26105,114.9918,115.1462,115.069,280.9644,283.598,282.2812,114.4906,114.3709,114.43075,280.1952,278.35,279.2726,113.9492,114.1938,114.0715,116.3565143315389,114.51789211517415,122.18710339985473,10631.0,10997.0,2308.0,7736.0,2665.0,8301.0,111.20884030418252,111.72480988593156,111.23461326474371,111.7523424582032
229,,566.9288,488.5458,488.6394,488.5926,499.3343,499.5258,499.43005,494.2583,494.395,494.32665,78922.13,557.35,446461.0,473.1596,473.398,473.27880000000005,486.9672,488.0895,487.52835,484.8502,485.6042,485.2272,494.2896,494.4377,494.36365,490.5576,491.7133,491.13545,500.9247,502.0883,501.50649999999996,494.2803,493.5999,493.94010000000003,503.7174,503.6872,503.70230000000004,494.1987,494.6457,494.4222,502.972,503.7215,503.34675,497.3299,498.9909,498.1604,503.0735,503.4683,503.2709,496.9815,496.6776,496.82955,479.442,492.2106,485.8263,292.9809,293.7329,293.3569,113.4871,113.6972,113.59215,288.3132,286.93690000000004,287.62505,114.9978,115.1496,115.0737,281.4074,283.9548,282.6811,114.4958,114.3755,114.43565,280.53409999999997,278.6884,279.61125,113.9478,114.1974,114.0726,116.38258421461683,114.53501351734857,122.24574277353518,10688.0,11073.0,2316.0,7822.0,2675.0,8389.0,111.20847121111846,111.72903469792946,111.2338989235541,111.75515416894727
230,,566.5062,488.5313,488.5849,488.55809999999997,499.3305,499.5345,499.4325,494.25,494.3767,494.31335,78734.0,557.27,446381.0,473.1616,473.4016,473.2816,486.9279,488.0547,487.4913,484.8313,485.5591,485.1952,494.2578,494.3723,494.31505,490.5044,491.6582,491.0813,500.8573,501.9946,501.42595,494.2801,493.5991,493.93960000000004,503.7372,503.663,503.7001,494.2006,494.6511,494.42584999999997,502.9021,503.7955,503.3488,497.329,498.9891,498.15905,503.059,503.4872,503.2731,496.9768,496.6753,496.82605,479.2113,492.1637,485.6875,292.6524,293.4066,293.0295,113.4744,113.6906,113.5825,287.9998,286.6258,287.3128,115.006,115.1612,115.0836,281.13530000000003,283.635,282.38515,114.5071,114.3853,114.4462,280.2037,278.3569,279.2803,113.9551,114.2005,114.0778,116.40871117461447,114.55217240480418,122.30415260151791,10716.0,11097.0,2316.0,7844.0,2676.0,8410.0,111.20792079207921,111.72918434700613,111.23347897323866,111.75541598397962
231,,567.0605,488.4696,488.528,488.4988,499.33,499.5289,499.42945,494.2223,494.3483,494.2853,78785.22,557.6600000000001,446771.0,473.1572,473.401,473.27909999999997,486.8616,487.998,487.4298,484.7732,485.5117,485.14245,494.1684,494.2996,494.23400000000004,490.4353,491.5994,491.01734999999996,500.7377,501.8887,501.3132,494.2806,493.6005,493.94055000000003,503.6996,503.674,503.68679999999995,494.1949,494.6394,494.41715,502.8422,503.7952,503.31870000000004,497.3297,498.9904,498.16005,503.0532,503.4695,503.26135,496.9815,496.6796,496.83055,479.1963,492.1314,485.66385,292.7468,293.4857,293.11625000000004,113.4706,113.6884,113.5795,288.11109999999996,286.7242,287.41765,115.00919999999999,115.1668,115.088,281.19,283.7241,282.45705,114.508,114.3872,114.4476,280.31510000000003,278.45820000000003,279.38665000000003,113.9544,114.214,114.0842,116.43476441025749,114.5692828737716,122.36241140236054,10688.0,11066.0,2320.0,7820.0,2681.0,8381.0,111.20884939018626,111.72884560839557,111.23459607485167,111.75490643541762
232,,566.1363,488.5103,488.5143,488.5123,499.3195,499.5433,499.4314,494.235,494.3517,494.29335000000003,78747.86,557.75,446861.0,473.1584,473.3989,473.27864999999997,486.9074,488.0794,487.4934,484.8149,485.5139,485.1644,494.2329,494.3181,494.27549999999997,490.4474,491.5982,491.0228,500.7565,501.8051,501.2808,494.2805,493.6,493.94025,503.6596,503.716,503.68780000000004,494.2016,494.6536,494.4276,502.9744,503.8514,503.41290000000004,497.3296,498.9896,498.1596,503.0588,503.4415,503.25015,496.9791,496.6783,496.8287,478.7582,491.7264,485.2423,293.1547,293.8997,293.5272,113.4732,113.6882,113.58070000000001,288.53340000000003,287.09590000000003,287.81465000000003,115.012,115.1661,115.08905,281.8159,284.1178,282.96685,114.5199,114.3827,114.4513,280.7004,278.8292,279.7648,113.948,114.1948,114.0714,116.4607581907758,114.58635429557113,122.42019828534231,10665.0,11041.0,2324.0,7762.0,2684.0,8322.0,111.20968353231002,111.7249384119765,111.23540713632205,111.7512351326624
233,,566.5725,488.5674,488.6529,488.61015,499.3456,499.5373,499.44145000000003,494.2734,494.4085,494.34095,78694.25,556.23,445341.0,473.1639,473.4013,473.2826,486.966,488.0829,487.52445,484.8548,485.585,485.2199,494.4278,494.4981,494.46295,490.5959,491.7097,491.15279999999996,500.9457,502.069,501.50735,494.2804,493.6,493.9402,503.7929,503.6972,503.74505,494.2034,494.648,494.4257,503.1156,503.8144,503.465,497.3295,498.9901,498.1598,503.1061,503.4997,503.3029,496.9832,496.6815,496.83235,479.3346,492.0009,485.66775,292.73249999999996,293.4896,293.11105,113.5071,113.7177,113.6124,288.1248,286.6873,287.40605,115.0183,115.1769,115.0976,281.08889999999997,283.6549,282.3719,114.534,114.4019,114.46795,280.27070000000003,278.3864,279.32855,113.9661,114.2143,114.0902,116.48692320205325,114.60353817321418,122.44170722417869,10734.0,11113.0,2318.0,7812.0,2677.0,8372.0,111.20775675421255,111.72493645862751,111.23323032175968,111.75086347936738
234,,566.754,488.6424,488.7538,488.6981,499.3282,499.5296,499.4289,494.2959,494.4492,494.37255000000005,78941.83,556.9200000000001,446031.0,473.1692,473.4075,473.28835000000004,487.0593,488.1728,487.61605,484.9388,485.6696,485.30420000000004,494.3388,494.6345,494.48665,490.668,491.8384,491.2532,501.0642,502.2794,501.6718,494.2804,493.6006,493.9405,503.8196,503.7217,503.77065,494.2008,494.6473,494.42404999999997,503.0736,503.7992,503.4364,497.3299,498.9904,498.16015000000004,503.0748,503.443,503.2589,496.9787,496.6806,496.82965,479.1007,492.0014,485.55105000000003,292.9115,293.65250000000003,293.282,113.511,113.722,113.6165,288.26660000000004,286.8755,287.57105,115.0205,115.1746,115.09755,281.2138,283.8366,282.5252,114.5306,114.402,114.4663,280.4477,278.58500000000004,279.51635,113.9642,114.2154,114.0898,116.51319761076014,114.62079389764612,122.50205168107254,10779.0,11159.0,2312.0,7867.0,2670.0,8430.0,111.20631796025496,111.72703412073491,111.23162563359884,111.75298696596668
235,,567.5435,488.632,488.7445,488.68825000000004,499.3193,499.5179,499.41859999999997,494.2875,494.4386,494.36305000000004,78931.99,558.28,447391.0,473.1542,473.3968,473.27549999999997,487.0524,488.1386,487.5955,484.9231,485.6613,485.2922,494.1347,494.6363,494.3855,490.6959,491.839,491.26745,501.1022,502.2882,501.6952,494.2793,493.5988,493.93904999999995,503.7979,503.6727,503.73530000000005,494.1979,494.6468,494.42235,503.0511,503.8039,503.4275,497.3291,498.9895,498.15930000000003,503.03,503.4213,503.22565,496.9814,496.6821,496.83175,479.1837,491.9898,485.58675,292.8506,293.6065,293.22855,113.5122,113.7213,113.61675,288.16679999999997,286.7695,287.46815,115.0186,115.1758,115.0972,281.3329,283.776,282.55445,114.5248,114.4032,114.464,280.302,278.46590000000003,279.38395,113.96039999999999,114.2137,114.08705,116.53938640408747,114.63799339415633,122.52481465189518,10745.0,11123.0,2267.0,7943.0,2617.0,8517.0,111.20274590934737,111.7365055482415,111.22756992371959,111.76334907373774
236,,567.1723,488.6458,488.7105,488.67815,499.3263,499.518,499.42215,494.2996,494.4231,494.36135,78983.08,559.77,448881.0,473.157,473.3969,473.27695,487.043,488.1284,487.5857,484.8968,485.6377,485.26725,494.1647,494.6084,494.38655,490.5642,491.8097,491.18695,500.9635,502.2118,501.58765,494.28,493.6006,493.9403,503.8383,503.6938,503.76605,494.1989,494.6472,494.42305,502.8815,503.8226,503.35205,497.3301,498.9901,498.1601,503.0303,503.4083,503.2193,496.9771,496.6762,496.82665,478.9902,491.7859,485.38805,292.8665,293.6105,293.2385,113.5187,113.7248,113.62175,288.20910000000003,286.7797,287.4944,115.0314,115.187,115.1092,281.3319,283.76959999999997,282.55075,114.5341,114.411,114.47255,280.336,278.4605,279.39825,113.9651,114.2173,114.0912,116.56558471023475,114.65519913821339,122.58627889489992,10749.0,11127.0,2215.0,7927.0,2601.0,8500.0,111.19778153788306,111.73472457228803,111.2260348583878,111.7615286855483
